Name RA Dec ForcePhot
ZTF17aaavjfv 80.74627295 19.470589 Done
ZTF17aadcbei 97.80723035 34.287447650000004 Done
ZTF18aaakpbx 70.5980656 58.4367623 Done
ZTF18aammlba 282.9691345 42.5826827 Done
ZTF18aawjxgs 253.1163853 45.185836800000004 Done
ZTF18aawrmhl 296.3655121 44.4989642 Done
ZTF18aaxtmeg 239.4502153 7.0951907 Done
ZTF18aaybtnt 267.9567657 15.3078583 Done
ZTF18aazhkfk 212.77516300000002 12.3813977 Done
ZTF18abccqmd 312.0824907 15.2376027 Done
ZTF18abckxfb 267.34078139999997 19.73969965 Done
ZTF18abcysck 285.9971943 32.54371605 Done
ZTF18abdbgza 335.271381 65.6758755 Done
ZTF18abfsess 280.6716047 26.3127712 Done
ZTF18abhqaxd 348.514316 52.3712668 Done
ZTF18abhqcfi 3.25428695 51.23296165 Done
ZTF18abjcyha 349.2601747 79.3368942 Done
ZTF18abjqaxg 286.3243808 27.7710178 Done
ZTF18abjsdwi 266.30062765 14.91535135 Done
ZTF18abjsjyx 280.64044924999996 12.1575238 Done
ZTF18abkhqhk 311.2974917 8.7572411 Done
ZTF18abkijlr 260.7627529 11.1474066 Done
ZTF18abkxfou 299.5801511 43.0078779 Done
ZTF18ablfqxm 356.9490993 53.2305552 Done
ZTF18ablgnrw 331.86802155 23.14052525 Done
ZTF18ablsaka 333.2182991 46.854229 Done
ZTF18ablusuz 286.6244698 -8.6333957 Done
ZTF18ablwrch 261.19763550000005 -17.873647849999998 Done
ZTF18abmjjfu 347.20380885 47.0415503 Done
ZTF18abmsaqj 288.0909396 79.1225635 Done
ZTF18abmsxzs 287.213311 46.062904 Done
ZTF18abnoonq 273.1546564 15.91479765 Done
ZTF18abnurff 354.34826015 51.520299 Done
ZTF18abokhip 298.6874352 10.065285450000001 Done
ZTF18abotzrm 261.4737945 -18.759461899999998 Done
ZTF18abpmwlt 297.7791112 12.8474114 Done
ZTF18abrnttt 302.6219161 -14.7434318 Done
ZTF18absdddn 263.6877679 11.5883563 Done
ZTF18absjiej 292.19632575 34.838205349999996 Done
ZTF18abskbng 330.7621811 36.4259187 Done
ZTF18absmdtd 278.60577695 17.24827345 Done
ZTF18abtjakn 323.6347872 -1.34458495 Done
ZTF18abtmhfz 339.3034815 70.8650722 Done
ZTF18abtvbct 287.51397280000003 -16.2576472 Done
ZTF18abumflq 333.7608252 42.143454950000006 Done
ZTF18abuzxek 294.5637697 -2.5080561 Done
ZTF18abvassm 294.96575565 5.90581815 Done
ZTF18abvbesl 303.3433377 1.8474974 Done
ZTF18abvftig 115.34166865 77.44312640000001 Done
ZTF18abvgghe 83.9143431 47.2527681 Done
ZTF18abvpiim 310.73352155 6.2235876 Done
ZTF18abvvvsi 296.6649189 5.963763350000001 Done
ZTF18abwdnml 319.12805265 27.5658362 Done
ZTF18abwugyc 284.4277094 32.9603975 Done
ZTF18abxdquf 312.7488174 68.7762097 Done
ZTF18abxvolr 105.78156365 22.0524931 Done
ZTF18abxywlg 331.4864741 43.2168505 Done
ZTF18abygcwk 316.1290041 13.0519375 Done
ZTF18abyukaz 272.73751300000004 18.75046955 Done
ZTF18abyvbat 309.6741579 20.7034892 Done
ZTF18abyxlas 354.6427439 70.0301992 Done
ZTF18abyyzdp 302.7338058 9.3299119 Done
ZTF18abyzmsb 319.7281095 7.9497728 Done
ZTF18abzmujj 287.96355044999996 -5.8251170000000005 Done
ZTF18abzpliv 276.3880775 11.5275206 Done
ZTF18abzysaj 42.5776033 49.3531393 Done
ZTF18acahncf 294.3589277 37.536829 Done
ZTF18acajosk 6.5867559 51.5193808 Done
ZTF18acapkod 283.9992115 26.6223449 Done
ZTF18acbwkqu 299.3481377 13.2055853 Done
ZTF18acecpja 80.22568485 59.50004165 Done
ZTF18acecqjl 79.7188334 54.704716 Done
ZTF18acjnusv 305.817051 19.8900452 Done
ZTF18acnadpj 53.1377795 42.9624546 Done
ZTF18acpuiwv 124.5557237 65.2376976 Done
ZTF18acrcfax 18.148695500000002 20.5128665 Done
ZTF18acsjdxo 69.8195549 15.4426512 Done
ZTF18acsjzcl 100.1795293 53.6057596 Done
ZTF18acswlfw 309.5788653 14.810081799999999 Done
ZTF18acvqeua 94.7150319 64.3813968 Done
ZTF18acvvslx 129.9378902 -8.59872005 Done
ZTF18acxhfkq 303.6229301 19.120271 Done
ZTF18acxiffk 33.1919599 77.62522469999999 Done
ZTF18acyonld 79.539077 50.2673082 Done
ZTF18adaifhl 83.9411967 -8.7968849 Done
ZTF18adiaqui 10.3536019 27.263764950000002 Done
ZTF18adlmpkc 241.3509489 6.137717 Done
ZTF19aaahoap 336.8883798 66.95182439999999 Done
ZTF19aaerfxo 125.29460614999999 -14.7003465 Done
ZTF19aakptvj 99.61551645 -20.6766303 Done
ZTF19aamgeup 123.56217415 8.08042775 Done
ZTF19aamqlah 204.9865581 43.0624106 Done
ZTF19aamyzoo 105.48273165 18.75126025 Done
ZTF19aanmcrd 240.6339201 16.2920986 Done
ZTF19aaodsna 279.89181715 20.162410649999998 Done
ZTF19aasltzs 291.1815517 38.7350981 Done
ZTF19aaumdqx 281.2529215 16.5630452 Done
ZTF19aawevgq 340.4166594 42.59455105 Done
ZTF19aaxnrkb 316.3726228 23.3976071 Done
ZTF19aayhvar 296.6961312 2.3673054 Done
ZTF19aazgdlv 231.9030115 16.7345222 Done
ZTF19abagian 275.6831757 5.8709223 Done
ZTF19abaivcy 294.4368832 -22.0385985 Done
