Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-08-25 10:50:11,-13.02166,30.0,g_ZTF,-2.42,2.63,ZTF,  
2022-08-25 11:35:38,-12.99009,30.0,r_ZTF,2.75,2.68,ZTF,  
2022-08-30 10:47:23,-8.02360,30.0,g_ZTF,-1.32,2.71,ZTF,  
2022-08-30 11:40:48,-7.98650,30.0,r_ZTF,5.44,2.49,ZTF,  
2022-09-02 10:24:50,-5.03925,30.0,g_ZTF,1.24,2.47,ZTF,  
2022-09-02 11:13:20,-5.00558,30.0,r_ZTF,1.50,2.47,ZTF,  
2022-09-02 14:04:59,-4.88637,45,w,-2.39,2.36,PS1 GPC2,  
2022-09-02 14:18:53,-4.87672,45,w,-1.89,2.21,PS1 GPC2,  
2022-09-02 14:32:53,-4.86699,45,w,-3.41,3.07,PS1 GPC2,  
2022-09-02 14:46:58,-4.85722,45,w,-1.79,2.41,PS1 GPC2,  
2022-09-04 10:42:53,-3.02672,30.0,r_ZTF,4.44,3.18,ZTF,  
2022-09-07 02:09:53,-0.38297,30,o,30.80,11.00,ATLAS,  
2022-09-07 11:21:22,0.00000,30.0,r_ZTF,25.76,2.98,ZTF,  
2022-09-07 11:42:36,0.01475,30.0,g_ZTF,30.54,2.59,ZTF,  
2022-09-07 12:58:01,0.06713,45,i,23.30,5.74,PS1 GPC2,  
2022-09-07 13:13:40,0.07799,45,i,22.51,4.76,PS1 GPC2,  
2022-09-07 13:29:15,0.08882,45,i,23.40,4.08,PS1 GPC2,  
2022-09-07 13:44:58,0.09973,45,i,20.27,4.97,PS1 GPC2,  
2022-09-08 12:26:31,1.04525,30,o,28.20,12.80,ATLAS,  
2022-09-10 11:15:37,2.99601,30,o,38.80,15.50,ATLAS,  
2022-09-18 10:43:24,10.97363,30.0,g_ZTF,4.15,2.75,ZTF,  
2022-09-18 11:36:05,11.01022,30.0,g_ZTF,8.70,2.87,ZTF,  
2022-09-20 10:28:05,12.96300,30.0,r_ZTF,9.26,3.05,ZTF,  
2022-09-20 10:43:19,12.97358,30.0,g_ZTF,8.46,3.12,ZTF,  
2022-09-22 10:44:45,14.97458,30.0,g_ZTF,7.33,2.63,ZTF,  
2022-09-23 01:55:51,15.60729,100.0,r,9.90,1.85,LT/IO:O,  
2022-09-23 01:57:50,15.60866,100.0,r,4.60,1.93,LT/IO:O,  
2022-09-23 01:59:49,15.61004,100.0,r,7.86,1.59,LT/IO:O,  
