,Name,RA,Dec,IAU,Redshift,Class,tgpeak,mgpeak,emgpeak,mrpeak,emrpeak
0,ZTF18aakuewf,243.5944051,35.9179013,SN 2018bcc,0.0636,Ibn,2458230.879124266,17.464992027451903,0.036307035410296035,17.736018653568976,0.027938922421068352
1,ZTF18aayrkfa,233.5015982,31.997132,AT 2018lwc,,Unknown,2458278.7645525,20.02343830346804,0.055680368049317655,20.264337404425614,0.08787411620057216
2,ZTF18abcfcoo,244.0009429,22.2680213,AT 2018cow,0.0141,AT2018cow-like,2458287.65,13.113,0.05,13.602,0.1
3,ZTF18abfcmjw,264.1947887,50.547826,SN 2019dge,0.0213,Ib,2458583.6637,18.395652972476935,0.02,18.572705449824067,0.01
4,ZTF18abianhw,290.9191765,44.8083879, ,,Unknown,2458318.910756167,19.54941979202816,0.04534157883177282,19.74750237080312,0.06977896807760467
5,ZTF18abukavn,250.9508545,41.04537845,SN 2018gep,0.03154,Ic-BL,2458374.71822915,15.906600885897374,0.0031337050935911475,16.226920875421268,0.0036086297811774885
6,ZTF18abvkmgw,9.361968,15.0142421,SN 2018ghd,0.03923,Ib,2458377.8512963,18.489033761605032,0.03392244782735923,18.582223246318573,0.04
7,ZTF18abvkwla,30.0633159,16.7992563,AT 2018lug,0.2714,AT2018cow-like,2458374.9060069,19.33874856703075,0.045642002302419486,19.822613900959624,0.056865787528469526
8,ZTF18abwkrbl,34.0649193,28.591288300000002,SN 2018gjx,0.00999,IIb,2458379.9449306,15.580109824975624,0.006250486832540551,15.779643692033751,0.0062452604912598035
9,ZTF19aakssbm,242.7648299,74.3614748,SN 2019aajs,0.0358,Ibn,2458542.6051,17.16392514509486,0.03,17.430775482556086,0.04
10,ZTF19aankdan,178.4464572,44.7457905,AT 2019dcm,,Unknown,2458572.7692824,19.085838593935065,0.041484159341946034,19.173067853075803,0.04118579922116508
11,ZTF19aapfmki,211.431526,9.5157489,SN 2019deh,0.05469,Ibn,2458587.8330787,17.21592772662822,0.022066181882735732,17.425182665954374,0.05094847554874958
12,ZTF19aapuudk,227.5148102,38.1199721,AT 2019aajt,,Unknown,2458585.7736052996,19.494679139642237,0.04822379766327708,19.75472678484123,0.05316196434573679
13,ZTF19aasexmy,202.9766387,25.7349831,AT 2019aaju,,Unknown,2458599.8300926,19.41495076661019,0.023198233054452042,19.68577795254217,0.058469689587306826
14,ZTF19aatoboa,186.4190451,44.74689105,AT 2019esf,0.0758,Unknown,2458609.719375,18.844615768779963,0.03486984098158854,19.203114554385973,0.05260253554228369
15,ZTF19abeyvoi,357.5658608,8.1181468,AT 2019lbr,,Unknown,2458675.947066,19.086927760064505,0.041692029994822084,19.354559882295085,0.07017790372416209
16,ZTF19abfarpa,166.78983715,57.10091485,AT 2019kyw,0.074,Unknown,2458676.6785995,18.27832243612288,0.03862511840142704,18.476407712539398,0.05008097600257781
17,ZTF19abobxik,10.9296731,37.0608326,SN 2019myn,0.1,Ibn,2458706.9506308003,18.841795911628346,0.017933228959065357,18.912431810601014,0.03422246903152908
18,ZTF19abrpfps,279.11378955,45.092243749999994, ,,Unknown,2458720.7192901336,19.477188648164574,0.034310446526396615,19.857166072344988,0.07901863755689283
19,ZTF19abuvqgw,297.5265526,66.0823764,SN 2019php,0.087,Ibn,2458730.7972106,18.683745456133774,0.05567994046010564,18.92208793214908,0.04082716092794172
20,ZTF19abyjzvd,252.0537768,48.0805579,SN 2019qav,0.1353,IIn/Ibn,2458739.6334259,18.992050699533795,0.05613964782598028,19.22432251081733,0.10243668147822528
