#mjd,cal_psf_mag,psf_inst_mag_sig,psf_inst_flux,psf_inst_flux_sig,filter,exptime,zero_pt,fpa_id,ujy,dujy,pscamera
57412.30077,None,5.96824,-73.9067,441.093,i,45,24.526,1322613,-0.92272,5.50703,GPC1
57412.31217,24.3946,10.0437,50.9874,512.103,i,45,24.5303,1322628,0.63406,6.36832,GPC1
57412.32365,None,4.0567,-284.347,1153.51,i,45,24.5501,1322658,-3.47213,14.08539,GPC1
57412.33507,21.7748,1.59101,581.158,924.631,i,45,24.5525,1322696,7.08079,11.26564,GPC1
58149.28164,None,1.80717,-728.489,1316.5,i,45,24.0506,1654756,-14.09193,25.46645,GPC1
58149.294,None,1.15448,-590.656,681.899,i,45,24.599,1654779,-6.89481,7.9599,GPC1
58149.30501,23.1719,5.32103,171.494,912.527,i,45,24.6245,1654806,1.9554,10.40479,GPC1
58149.31601,22.3953,4.70744,308.439,1451.95,i,45,24.4852,1654832,3.99831,18.82171,GPC1
58765.45725,None,2.84678,-118.081,336.151,i,45,24.5977,1835534,-1.38003,3.92864,GPC1
58765.4579,None,20.4097,-16.5208,337.185,i,45,24.5972,1835536,-0.19317,3.94254,GPC1
58765.46863,None,19.8778,-18.2456,362.682,i,45,24.6033,1835557,-0.21214,4.2169,GPC1
58765.46929,None,1.58175,-258.106,408.26,i,45,24.6032,1835562,-3.00127,4.74727,GPC1
58765.48003,None,7.31565,-29.239,213.903,i,45,24.5968,1835585,-0.342,2.50198,GPC1
58765.48069,22.7258,0.966489,251.937,243.495,i,45,24.596,1835586,2.94903,2.85021,GPC1
58765.49154,24.5836,5.22411,45.4312,237.338,i,45,24.594,1835609,0.53277,2.78327,GPC1
58765.49222,None,2.29452,-85.1804,195.448,i,45,24.5965,1835610,-0.99661,2.28675,GPC1
58820.27874,None,1.22518,-231.415,283.526,i,45,24.5682,1866833,-2.77907,3.40487,GPC1
58820.29028,None,1.05802,-255.572,270.401,i,45,24.5786,1866853,-3.03991,3.21629,GPC1
58820.30181,None,1.50159,-140.331,210.719,i,45,24.5817,1866887,-1.66441,2.49926,GPC1
58820.31334,None,2.03215,-97.7608,198.664,i,45,24.5797,1866912,-1.16164,2.36062,GPC1
58849.3437,25.5752,10.2171,18.4584,188.591,i,45,24.6077,1878160,0.21375,2.18388,GPC1
58849.35586,None,41.2695,-6.07769,250.823,i,45,24.6155,1878193,-0.06988,2.88373,GPC1
58849.36795,23.0611,1.19935,188.018,225.499,i,45,24.6136,1878211,2.16544,2.59712,GPC1
58849.38015,None,1.01595,-146.352,148.687,i,45,24.6007,1878240,-1.70571,1.73293,GPC1
59542.31864,None,0.754009,-591.76,446.193,i,45,24.6072,2244110,-6.85572,5.16928,GPC1
59542.33112,None,2.59831,-225.504,585.929,i,45,24.6109,2244150,-2.60364,6.76507,GPC1
59542.34362,None,4.60178,-110.153,506.899,i,45,24.6116,2244170,-1.27099,5.84883,GPC1
59542.35615,None,1.77033,-301.786,534.26,i,45,24.6118,2244203,-3.4815,6.1634,GPC1
59803.57031,21.9944,2.88292,465.485,1341.95,i,45,24.5311,2250729,5.78433,16.67569,GPC1
59803.57937,None,11.3106,-114.744,1297.82,i,45,24.5491,2250750,-1.40242,15.86215,GPC1
59803.58849,None,4.08439,-218.392,892.001,i,45,24.5609,2250771,-2.64037,10.78432,GPC1
59803.59761,None,1.09705,-449.802,493.454,i,45,24.5666,2250795,-5.40965,5.93464,GPC1
59829.5403,20.4816,0.246253,2173.34,535.193,i,45,24.6914,626345,23.29996,5.7377,GPC2
59829.55116,20.519,0.211351,2094.34,442.64,i,45,24.6886,626372,22.51099,4.75771,GPC2
59829.56199,20.477,0.174211,2172.42,378.459,i,45,24.6863,626396,23.39975,4.07649,GPC2
59829.5729,20.633,0.245131,1892.45,463.9,i,45,24.6926,626421,20.26618,4.96789,GPC2
59868.50062,None,210.422,-2.38153,501.126,i,45,24.7078,649090,-0.02515,5.29193,GPC2
59868.51303,23.4535,3.6174,142.838,516.704,i,45,24.7076,649124,1.50866,5.45744,GPC2
59868.52539,23.0191,2.42886,214.171,520.19,i,45,24.713,649147,2.25086,5.46701,GPC2
59868.53772,21.1696,0.440301,1171.61,515.861,i,45,24.7085,649176,12.36433,5.44403,GPC2
59953.33173,22.8436,2.33447,236.468,552.025,i,45,24.645,2313402,2.64582,6.17655,GPC1
59953.33237,None,6.04406,-151.657,916.627,i,45,24.6412,2313405,-1.70282,10.29201,GPC1
59953.34346,22.59,1.38995,296.584,412.236,i,45,24.6373,2313422,3.34207,4.6453,GPC1
59953.3441,22.8554,2.7625,231.73,640.155,i,45,24.6349,2313425,2.61704,7.22957,GPC1
