ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF18aawjxgs,AT2019fdb,16:52:27.93,+45:11:09.0,1065.83,r,18.708,-,>3.921,>0.11,3.811,CV,-,39.39572507,0.048
ZTF18aazvajy,AT2016cnq,21:26:55.56,+20:08:26.3,1737.93,g,17.7025,-,>4.98,>0.01,>4.97,CV,-,-21.5540294,0.242
ZTF18abcleke,AT2018gqp,18:25:27.62,+66:25:28.8,1753.95,r,17.257,-,>8.148,>0.14,8.008,CV,-,27.27018863,0.163
ZTF18abjcyha,AT2018gwh,23:17:02.43,+79:20:12.7,665.95,r,18.6188,-,290.086,280.902,9.184,CV,-,17.28999927,0.657
ZTF18abkhqhk,AT2018emm,20:45:11.39,+08:45:26.0,697.89,r,18.1829,-,376.447,369.398,7.049,CV,-,-20.45390504,0.235
ZTF18abmanuy,AT2018jlh,19:52:38.13,+03:43:50.9,986.92,g,17.7018,-,>189.365,>183.33,6.035,CV,-,-11.80986394,0.447
ZTF18abmiwau,AT2018fdc,19:01:21.33,+47:17:03.3,342.83,r,16.5464,-,8.616,0.737,7.879,CV,-,17.99350111,0.151
ZTF18abmxatl,AT2018fea,17:51:59.44,+17:29:43.8,346.67,g,16.2958,-,9.977,0.506,9.471,CV,-,20.78094886,0.199
ZTF18abrxrms,AT2018fuv,19:23:31.31,+43:28:52.2,360.78,r,17.6921,-,6.337,1.079,5.258,CV,-,12.92428453,0.287
ZTF18absdddn,AT2018fqg,17:34:45.06,+11:35:18.0,362.71,g,18.9358,-,15.531,10.963,4.568,CV,-,22.20451473,0.395
ZTF18abshnzy,AT2018abk,06:49:41.24,+27:17:12.5,1274.73,g,17.5886,-,>10.001,>4.06,5.941,CV,-,11.71265293,0.26
ZTF18absjiej,AT2018fuw,19:28:47.11,+34:50:17.5,366.73,g,18.7342,-,>9.868,3.858,>6.01,CV,-,8.16227407,0.42
ZTF18abssoen,AT2018kcx,21:48:04.97,+32:50:42.6,1387.87,g,17.6083,-,>7.257,>0,>7.257,CV,-,-15.87878381,0.464
ZTF18absxczg,AT2020rzi,21:12:54.20,+32:39:31.2,1088.82,g,17.725,-,6.449,2.306,4.143,CV,-,-10.81391411,0.45
ZTF18abthvpk,AT2019ddw,18:12:01.86,+03:00:02.5,1356.92,g,17.0065,-,>9.008,>3.04,5.968,CV,-,10.13334777,0.829
ZTF18abucoyd,AT2018gfu,18:18:58.05,+17:53:05.9,369.71,g,16.554,-,8.386,0.544,7.842,CV,-,15.04840403,0.564
ZTF18abvassm,AT2018gky,19:39:51.78,+05:54:20.9,375.73,g,18.9879,-,>5.962,3.022,>2.94,CV,-,-7.97508413,0.771
ZTF18abvvyro,AT2018gqt,19:11:59.50,+31:57:05.0,1458.75,r,17.4753,-,>5.79,>0,>5.79,CV,-,10.0015562,0.539
ZTF18abxdker,AT2018grx,21:11:58.56,+36:13:47.4,1714.96,g,17.7409,-,>6.924,>0.03,>6.894,CV,-,-8.25949542,0.441
ZTF18abxdquf,AT2019hxd,20:50:59.71,+68:46:34.3,655.89,r,18.249,-,283.599,276.832,6.767,CV,-,15.33756284,0.98
ZTF18abymchm,AT2018gvy,20:06:43.15,+13:22:57.0,1338.95,g,17.7752,-,>5.65,>0,>5.65,CV,-,-10.00742196,0.577
ZTF18abyyzdp,AT2018gxk,20:10:56.11,+09:19:47.7,1743.96,r,18.1606,-,>5.499,>0.04,>5.459,CV,-,-12.9811323,0.65
ZTF18abzpxel,AT2018lx,20:48:31.14,+29:51:54.2,388.73,r,17.0068,-,>0.812,0.812,>0,CV,-,-8.64385776,0.77
ZTF18acaktuk,AT2017ww,04:32:20.59,+78:49:13.6,735.96,g,16.5409,-,>7.821,>0,>7.821,CV,-,20.4213006,0.293
ZTF18acapkod,AT2019ntj,18:55:59.81,+26:37:20.4,1717.85,g,18.2724,-,244.12,238.067,6.053,CV,-,10.8656164,0.578
ZTF18acawxza,AT2019lft,19:41:29.24,+40:11:24.1,1825.79,g,16.7297,-,>3.113,>0,>3.113,CV,-,8.45118184,0.565
