###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57671.613757  16.345  0.025  1052   26 o  0   0.92  74.64332  -8.30110  3233.57  1854.62 3.63 3.54 -55.6 -0.441 19.24 20.73 02a57671o0793o
57671.628768  16.380  0.024  1018   24 o  0   1.47  74.64332  -8.30110  3214.41  1815.33 3.60 3.50 -61.8 -0.446 19.25 20.74 02a57671o0822o
57676.549695  16.371  0.039  1027   40 o  0   1.42  74.64332  -8.30110  7145.86  6456.13 3.44 3.19 -67.4 -0.465 18.35 19.03 02a57676o0726o
57676.561294  16.222  0.038  1178   45 o  0   1.07  74.64332  -8.30110  7163.76  6496.97 3.46 3.28 -66.9 -0.475 18.38 19.07 02a57676o0747o
57676.577529  16.376  0.042  1023   43 o  0   1.22  74.64332  -8.30110  3402.84  4027.45 3.78 3.73  54.3 -0.419 18.29 19.13 02a57676o0778o
57676.594171  16.360  0.059  1037   62 o  0   1.38  74.64332  -8.30110  3423.14  3912.54 3.80 3.60   5.2 -0.433 17.70 18.42 02a57676o0809o
57676.612812  16.375  0.262  1023  268 o  0   0.06  74.64332  -8.30110  3390.84  3968.76 3.51 3.44  86.8 -0.464 17.87 18.41 02a57676o0843o
57680.585813  17.560  0.114   344   39 o  0   0.94  74.64332  -8.30110  3690.69  4823.24 3.46 3.42  79.9 -0.449 18.42 19.21 02a57680o0775o
57680.594824  17.291  0.093   440   41 o  0   1.02  74.64332  -8.30110  3676.28  4784.97 3.57 3.48  85.2 -0.434 18.39 19.19 02a57680o0791o
57680.612080  17.370  0.098   409   40 o  0   1.11  74.64332  -8.30110  3737.04  4862.83 3.63 3.52  85.2 -0.431 18.37 19.19 02a57680o0825o
57680.620027  17.376  0.105   407   43 o  0   0.93  74.64332  -8.30110  3751.83  4743.56 3.46 3.39 -85.3 -0.446 18.40 19.17 02a57680o0841o
57680.640001  17.360  0.098   413   40 o  0   1.16  74.64332  -8.30110  3719.33  4801.70 3.62 3.51  86.6 -0.428 18.29 19.03 02a57680o0878o
