# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-12-15 at 17:22:39
#
# Requested input R.A. = 50.04531165 degrees
# Requested input Dec. = 8.74882845 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459929.2041806355 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 506 3 3 ZTF_g 452139951115 0 3.086 73.3908 18.1049 25.9858 0.000149838 0.043375 -0.0987577 0.000266055 194 30. 0.080144 0.072131 18.5973 25.9858 1 2458206.6399537 506120111 144.111161151174 100.813685941324 1.59013107516206 0.919413682611878 265.783642847435 151.133140108474 1.77045028497259 1.0453579130662 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 1 506 3 3 ZTF_g 560475641115 0 1.9235 60.1827 6.08921 25.6928 4.15957e-05 0.0418323 0.00545284 5.23318e-05 435 30. 0.078456 0.070692 19.9626 25.6928 1 2458314.9756481 506120111 10.8949205745688 27.1679426876413 0.446089619392991 0.974798791257411 -61.0338578380904 50.0555777381957 -1.22753401636039 1.05054800810931 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 2 506 3 3 ZTF_g 566464431115 33554432 2.0987 7.19606 6.05333 23.4617 0.0010785 0.0772555 -0.00523645 0.0021612 131 30. 0.077801 0.063011 17.6388 23.4617 1 2458320.9644329 506120111 27.2270096918429 27.2263960730029 1.1124092435172 1.0193485338368 43.9212603025935 49.4002641258622 0.895077653938869 1.05228407211155 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 3 506 3 3 ZTF_r 566486421115 0 2.0292 54.6157 8.30967 24.8131 0.000108116 0.0693981 0.0965083 0.000122649 456 30. 0.058174 0.05393 18.6773 24.8131 1 2458320.9864236 506120211 -17.778765606465 33.4192145499287 -0.591779841100867 0.952944460680483 -9.86049376913392 64.8278309232177 -0.153127208185465 1.03107859272941 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 4 506 3 3 ZTF_g 569443911115 0 2.2337 76.917 5.30531 25.9821 2.6397e-05 0.0352299 -0.02853 3.09647e-05 472 30. 0.092638 0.081065 20.3569 25.9821 1 2458323.943912 506120111 -9.67834131483084 22.3916953575059 -0.480804759425306 1.05468489515447 -13.6443017876931 39.3143677062394 -0.349393815713762 1.05174450969291 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 5 506 3 3 ZTF_r 569486551115 0 1.7749 183.311 7.14296 26.0966 1.00439e-05 0.0222568 0.0969611 1.11572e-05 491 30. 0.053895 0.049795 20.2759 26.0966 1 2458323.9865509 506120211 -12.5196805779321 25.6333435849374 -0.543303860447825 1.08420862099197 -34.7151308208035 51.0863077954497 -0.684115582675295 1.03381598348833 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 6 506 3 3 ZTF_g 572497281115 0 2.7014 74.3932 16.9057 25.978 0.000199969 0.0549553 -0.0717179 0.000348368 234 30. 0.056161 0.059448 18.8256 25.978 1 2458326.9972801 506120111 84.9104937897146 83.9533871718237 1.12506585612573 0.934096799532638 59.4602368754729 140.898717263798 0.424849183543623 1.049709004465 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 7 506 3 3 ZTF_g 575463091115 0 2.1985 81.3699 13.6694 26.034 6.39061e-05 0.0414331 -0.0119424 9.68446e-05 329 30. 0.06455 0.056716 19.3258 26.034 1 2458329.9630903 506120111 -15.074388904535 65.0207121704705 -0.257894924175203 1.01727782207463 -36.7806864837666 112.767601400136 -0.328360327466922 1.06502358144154 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 8 506 3 3 ZTF_r 578418911115 33556531 2.1594 38.9482 43.0258 24.4869 0.0731986 0.471161 0.0967529 0.136625 41 30. 0.138419 0.121872 16.4859 24.4869 1 2458332.918912 506120211 -258.697685569706 272.397764340317 -1.05643749212063 0.975378645531297 -249.2483622858 485.352955311915 -0.516999147939703 1.06469363316156 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 9 506 3 3 ZTF_g 578481711115 33554464 2.3587 16.3938 24.2589 24.4054 0.0147271 0.163605 0.151522 0.0330075 59 30. 0.081374 0.055987 17.0524 24.4054 1 2458332.981713 506120111 -61.5014177738086 111.485747268555 -0.613649775192547 0.919713654510143 -162.087020440731 185.307667028364 -0.880582484609688 1.09514774866589 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 10 506 3 3 ZTF_g 583418871115 0 2.4598 80.2763 6.0253 26.0598 2.87041e-05 0.0360323 -0.0560276 3.44891e-05 462 30. 0.062126 0.064769 20.1416 26.0598 1 2458337.9188773 506120111 34.9017428256918 28.0278404784959 1.38519934702544 1.01991601881035 126.357756303337 48.8812644388995 2.60240369233963 1.04294310464437 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 11 506 3 3 ZTF_r 583484841115 0 1.6786 188.82 6.44 26.1254 9.8348e-06 0.021983 0.103393 1.09458e-05 493 30. 0.048946 0.049691 20.4069 26.1254 1 2458337.9848495 506120211 30.3364226358343 21.6998928687506 1.55511165928732 0.946924875225193 67.7266728706939 42.6346225923548 1.5992358267375 1.03576522527636 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 12 506 3 3 ZTF_r 586456671115 0 2.4123 144.566 5.38924 25.8389 1.38459e-05 0.0257248 0.102079 1.55499e-05 482 30. 0.071806 0.066296 20.1163 25.8389 1 2458340.9566782 506120211 -20.6305501350698 23.7201978957887 -0.967491820739298 1.00887958545362 -23.724769545626 40.3702957520311 -0.591636914929377 1.04933457405047 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 13 506 3 3 ZTF_g 586486431115 0 2.1047 72.0919 4.26014 25.9032 2.28737e-05 0.0330116 -0.0523574 2.6238e-05 478 30. 0.058353 0.0625 20.5631 25.9032 1 2458340.9864352 506120111 -0.972564805976755 18.2455664580671 -0.0592947168765519 0.934201811489321 16.0100003434295 33.0449466726866 0.487754717128917 1.04752198247335 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 14 506 3 3 ZTF_g 589455571115 0 1.9195 88.4455 4.5159 26.1603 1.59757e-05 0.0280218 -0.065238 1.8057e-05 488 30. 0.050937 0.053735 20.7435 26.1603 1 2458343.9555787 506120111 -6.81925277785598 19.1022312234968 -0.397106954313736 0.931237342590621 -39.2153690842212 36.0381091601357 -1.0954927373084 1.04231034347836 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
