#instrument     mjdstart    exp    flt flux   unc    sig
P200/CHIMERA    59971.19281  50.00 r   -1.11  3.06  -0.36 
P200/CHIMERA    59971.19339  50.00 r    2.33  2.27   1.03 
P200/CHIMERA    59971.19397  50.00 r    1.70  2.64   0.64 
P200/CHIMERA    59971.19455  50.00 r    2.10  2.94   0.71 
P200/CHIMERA    59971.19513  50.00 r    0.61  5.05   0.12 
P200/CHIMERA    59971.19571  50.00 r    1.19  3.02   0.39 
P200/CHIMERA    59971.19628  50.00 r    2.28  2.91   0.78 
P200/CHIMERA    59971.19686  50.00 r   -0.00  2.84  -0.00 
P200/CHIMERA    59971.19744  50.00 r    0.99  3.17   0.31 
P200/CHIMERA    59971.19802  50.00 r    4.19  3.83   1.09 
P200/CHIMERA    59971.19876  50.00 r    1.33  3.23   0.41 
P200/CHIMERA    59971.19934  50.00 r    1.73  3.42   0.51 
P200/CHIMERA    59971.19992  50.00 r    3.36  2.75   1.22 
P200/CHIMERA    59971.20050  50.00 r    0.66  2.58   0.25 
P200/CHIMERA    59971.20108  50.00 r   -1.05  2.56  -0.41 
P200/CHIMERA    59971.20166  50.00 r   -0.32  2.78  -0.12 
P200/CHIMERA    59971.20223  50.00 r    2.46  2.71   0.91 
P200/CHIMERA    59971.20281  50.00 r   -1.01  3.62  -0.28 
P200/CHIMERA    59971.20339  50.00 r    1.76  3.38   0.52 
P200/CHIMERA    59971.20397  50.00 r    0.95  2.89   0.33 
P200/CHIMERA    59971.20459  50.00 r    2.57  3.15   0.82 
P200/CHIMERA    59971.20517  50.00 r    2.03  2.87   0.71 
P200/CHIMERA    59971.20575  50.00 r    3.88  2.48   1.56 
P200/CHIMERA    59971.20633  50.00 r   -1.75  3.07  -0.57 
P200/CHIMERA    59971.20691  50.00 r    3.44  2.73   1.26 
P200/CHIMERA    59971.20748  50.00 r    3.91  2.93   1.33 
P200/CHIMERA    59971.20806  50.00 r    1.88  2.68   0.70 
P200/CHIMERA    59971.20864  50.00 r    1.50  2.76   0.54 
P200/CHIMERA    59971.20922  50.00 r   -0.99  3.00  -0.33 
P200/CHIMERA    59971.20980  50.00 r    0.11  3.04   0.04 
P200/CHIMERA    59971.21042  50.00 r   -1.61  2.87  -0.56 
P200/CHIMERA    59971.21100  50.00 r    1.67  2.85   0.59 
P200/CHIMERA    59971.21158  50.00 r    4.30  2.98   1.44 
P200/CHIMERA    59971.21216  50.00 r    3.25  3.63   0.90 
P200/CHIMERA    59971.21273  50.00 r    6.09  3.17   1.92 
P200/CHIMERA    59971.21331  50.00 r   -0.56  3.10  -0.18 
P200/CHIMERA    59971.21389  50.00 r    1.62  3.45   0.47 
P200/CHIMERA    59971.21447  50.00 r    5.35  5.00   1.07 
P200/CHIMERA    59971.21505  50.00 r   13.80  6.94   1.99 
P200/CHIMERA    59971.21563  50.00 r   -6.10  4.90  -1.24 
P200/CHIMERA    59971.21625  50.00 r    3.92  5.58   0.70 
P200/CHIMERA    59971.21683  50.00 r   10.50  7.48   1.40 
P200/CHIMERA    59971.21741  50.00 r   -2.34  7.13  -0.33 
P200/CHIMERA    59971.21798  50.00 r    0.73  3.52   0.21 
