#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59932.08034  20.41 u   -1.03  2.03  -0.51 
NTT/ULTRACAM    59932.08034  20.41 g    0.30  0.94   0.32 
NTT/ULTRACAM    59932.08034  20.41 i    2.96  2.38   1.24 
NTT/ULTRACAM    59932.08059  19.99 u    1.12  2.16   0.52 
NTT/ULTRACAM    59932.08059  19.99 g    0.54  0.94   0.58 
NTT/ULTRACAM    59932.08059  19.99 i    2.77  2.37   1.17 
NTT/ULTRACAM    59932.08082  19.99 u    4.46  1.99   2.24 
NTT/ULTRACAM    59932.08082  19.99 g   -1.45  0.86  -1.68 
NTT/ULTRACAM    59932.08082  19.99 i   -4.63  2.43  -1.91 
NTT/ULTRACAM    59932.08105  19.99 u    2.64  2.13   1.24 
NTT/ULTRACAM    59932.08105  19.99 g   -0.47  0.89  -0.52 
NTT/ULTRACAM    59932.08105  19.99 i    2.62  2.32   1.13 
NTT/ULTRACAM    59932.08128  19.99 u    0.65  2.14   0.31 
NTT/ULTRACAM    59932.08128  19.99 g   -1.96  0.94  -2.08 
NTT/ULTRACAM    59932.08128  19.99 i    2.06  2.59   0.80 
NTT/ULTRACAM    59932.08151  19.99 u    3.17  2.12   1.50 
NTT/ULTRACAM    59932.08151  19.99 g    0.31  0.89   0.35 
NTT/ULTRACAM    59932.08151  19.99 i   -0.73  2.32  -0.31 
NTT/ULTRACAM    59932.08174  19.99 u   -2.11  1.88  -1.12 
NTT/ULTRACAM    59932.08174  19.99 g   -1.76  0.94  -1.88 
NTT/ULTRACAM    59932.08174  19.99 i   -2.46  2.25  -1.09 
NTT/ULTRACAM    59932.08198  19.99 u    4.35  2.00   2.17 
NTT/ULTRACAM    59932.08198  19.99 g   -2.25  0.87  -2.58 
NTT/ULTRACAM    59932.08198  19.99 i    5.05  2.13   2.37 
NTT/ULTRACAM    59932.08221  19.99 u    0.99  2.05   0.48 
NTT/ULTRACAM    59932.08221  19.99 g   -0.32  0.89  -0.36 
NTT/ULTRACAM    59932.08221  19.99 i   -0.11  2.18  -0.05 
NTT/ULTRACAM    59932.08244  19.99 u   -0.73  1.98  -0.37 
NTT/ULTRACAM    59932.08244  19.99 g    1.10  0.92   1.20 
NTT/ULTRACAM    59932.08244  19.99 i    6.26  2.37   2.64 
NTT/ULTRACAM    59932.08267  19.99 u   -2.14  2.00  -1.07 
NTT/ULTRACAM    59932.08267  19.99 g   -0.05  0.99  -0.05 
NTT/ULTRACAM    59932.08267  19.99 i   -3.48  2.32  -1.50 
NTT/ULTRACAM    59932.08290  19.99 u    3.25  2.34   1.39 
NTT/ULTRACAM    59932.08290  19.99 g    0.56  0.92   0.61 
NTT/ULTRACAM    59932.08290  19.99 i   -0.75  2.32  -0.32 
NTT/ULTRACAM    59932.08313  19.99 u    3.43  2.13   1.61 
NTT/ULTRACAM    59932.08313  19.99 g    0.89  0.92   0.96 
NTT/ULTRACAM    59932.08313  19.99 i    2.87  2.39   1.20 
NTT/ULTRACAM    59932.08337  19.99 u    0.42  2.28   0.19 
NTT/ULTRACAM    59932.08337  19.99 g    0.58  1.07   0.55 
NTT/ULTRACAM    59932.08337  19.99 i    1.01  2.24   0.45 
NTT/ULTRACAM    59932.08360  19.99 u   -4.12  2.31  -1.78 
NTT/ULTRACAM    59932.08360  19.99 g    0.62  0.99   0.62 
NTT/ULTRACAM    59932.08360  19.99 i    2.04  2.31   0.88 
NTT/ULTRACAM    59932.08383  19.99 u    1.41  2.16   0.65 
NTT/ULTRACAM    59932.08383  19.99 g    0.33  0.93   0.36 
NTT/ULTRACAM    59932.08383  19.99 i    2.98  2.31   1.29 
NTT/ULTRACAM    59932.08406  19.99 u   -1.10  2.61  -0.42 
NTT/ULTRACAM    59932.08406  19.99 g    0.85  1.04   0.82 
NTT/ULTRACAM    59932.08406  19.99 i    0.75  2.54   0.30 
NTT/ULTRACAM    59932.08429  19.99 u    6.60  2.23   2.96 
NTT/ULTRACAM    59932.08429  19.99 g   -0.08  1.04  -0.08 
NTT/ULTRACAM    59932.08429  19.99 i   -2.14  2.68  -0.80 
NTT/ULTRACAM    59932.08452  19.99 u    3.15  2.22   1.42 
NTT/ULTRACAM    59932.08452  19.99 g    1.48  0.93   1.58 
NTT/ULTRACAM    59932.08452  19.99 i   -2.26  2.20  -1.03 
NTT/ULTRACAM    59932.08476  19.99 u    5.24  2.26   2.32 
NTT/ULTRACAM    59932.08476  19.99 g    1.52  0.94   1.62 
NTT/ULTRACAM    59932.08476  19.99 i    4.04  2.30   1.76 
NTT/ULTRACAM    59932.08499  19.99 u   -0.97  2.23  -0.44 
NTT/ULTRACAM    59932.08499  19.99 g    1.41  0.97   1.46 
NTT/ULTRACAM    59932.08499  19.99 i    2.31  2.27   1.02 
NTT/ULTRACAM    59932.08522  19.99 u    1.63  2.15   0.76 
NTT/ULTRACAM    59932.08522  19.99 g    0.06  1.04   0.06 
NTT/ULTRACAM    59932.08522  19.99 i    3.61  2.33   1.55 
NTT/ULTRACAM    59932.08545  19.99 u    3.06  2.31   1.32 
NTT/ULTRACAM    59932.08545  19.99 g    0.53  1.01   0.53 
NTT/ULTRACAM    59932.08545  19.99 i   -1.00  2.24  -0.45 
NTT/ULTRACAM    59932.08568  19.99 u    2.87  2.20   1.30 
NTT/ULTRACAM    59932.08568  19.99 g    0.56  0.93   0.60 
