Date,dt,Tel,Freq_Obs,Flux_mJy,eFlux
2022-10-02,25,VLA,15,0.023,0.004
2022-10-04,27,SMA,230,0.27,99 # 1-sigma
2022-10-10,33,VLA,15,0.031,0.004
2022-10-10,33,VLA,22,0.038,0.009
2022-10-10,33,VLA,33,0.086,0.013
2022-10-10,33,VLA,45,0.127,0.033
2022-10-19,42,ALMA,350.5,0.313,0.027
2022-10-20,43,VLA,10,0.031,0.004
2022-10-20,43,VLA,15,0.033,0.004
2022-10-20,43,VLA,22,0.056,0.007
2022-10-20,43,VLA,33,0.071,0.010
2022-10-20,43,VLA,45,0.075,0.021
2022-10-21,44,ALMA,412,0.259,0.038
2022-10-22,45,ALMA,242,0.300,0.028
2022-11-08,62,VLA,15,0.031,0.004
2022-11-08,62,VLA,22,0.043,0.006
2022-11-08,62,VLA,33,0.075,0.008
2022-11-08,62,VLA,45,0.120,0.015
2022-12-03,87,VLA,15,0.049,0.004
2022-12-03,87,VLA,22,0.078,0.007
2022-12-03,87,VLA,33,0.099,0.009
2022-12-03,87,VLA,45,0.108,0.018
