Date,Tel,Freq_Obs,Flux,eFlux
2022-10-02T06:50,VLA,15.0,0.023,0.004
2022-10-10T08:02,VLA,15.0,0.031,0.004
2022-10-10T08:02,VLA,22.0,0.038,0.009
2022-10-10T08:02,VLA,33.0,0.086,0.013
2022-10-10T08:02,VLA,45.0,0.127,0.033
2022-10-20T05:44,VLA,10.0,0.031,0.004
2022-10-20T05:44,VLA,15.0,0.033,0.004
2022-10-20T05:44,VLA,22.0,0.056,0.007
2022-10-20T05:44,VLA,33.0,0.071,0.010
2022-10-20T05:44,VLA,45.0,0.075,0.021
2022-11-08T04:52,VLA,15.0,0.031,0.004
2022-11-08T04:52,VLA,22.0,0.043,0.006
2022-11-08T04:52,VLA,33.0,0.075,0.008
2022-11-08T04:52,VLA,45.0,0.120,0.015
2022-12-03T03:26,VLA,15.0,0.049,0.004
2022-12-03T03:26,VLA,22.0,0.078,0.007
2022-12-03T03:26,VLA,33.0,0.099,0.009
2022-12-03T03:26,VLA,45.0,0.108,0.018
2023-01-27T01:26,VLA,15.0,0.048,0.003
2023-01-27T01:26,VLA,22.0,0.048,0.006
2023-01-27T01:26,VLA,33.0,0.052,0.011
2023-01-27T01:26,VLA,45.0,99,0.016
2023-04-05T23:00,VLA,22.0,99,0.009
2023-04-05T23:00,VLA,10.0,0.038,0.009
2023-04-05T23:00,VLA,6.0,99,0.009
2023-04-05T23:00,VLA,3.0,99,0.018
