name,grise,gfade,rrise,rfade
ZTF18aakuewf,3.20pm0.08,5.868pm0.37,3.195pm0.091,7.841pm0.173
ZTF18aayrkfa,1.92-4.0,9.833pm1.641,3.466pm0.356,10.014pm2.755
ZTF18abcfcoo,1.102pm0.036,1.962pm0.119,<5.75,2.559pm0.296
ZTF18abfcmjw,1.981pm0.036,4.141pm0.169,1.797pm0.071,7.681pm0.779
ZTF18abianhw,2.02-3.0,4.272pm0.853,2.06-3.01,6.293pm1.025
ZTF18abukavn,3.269pm0.023,6.003pm0.171,3.214pm0.054,10.901pm0.553
ZTF18abvkmgw,2.492pm0.096,7.031pm0.923,2.26pm0.156,10.685pm4.118
ZTF18abvkwla,1.123pm0.032,2.921pm0.135,1.51-2.34,2.752pm0.345
ZTF18abwkrbl,2.319pm0.009,5.049pm0.084,1.97-4.0,8.217pm0.19
ZTF18achepjg,3.104pm1.085,2.978pm5.467,2.042pm1.314,8.568pm6.859
ZTF19aakssbm,2.107pm0.03,6.054pm0.239,2.008pm0.06,5.884pm0.218
ZTF19aankdan,4.02-5.0,5.241pm0.31,4.0-5.04,7.299pm0.4
ZTF19aapfmki,4.347pm0.066,6.329pm0.662,5.004pm0.146,6.567pm0.42
ZTF19aapuudk,1.447pm0.045,4.223pm0.683,1.356pm0.065,5.402pm0.467
ZTF19aasexmy,<3.1,8.799pm1.98,<4.02,15.104pm5.151
ZTF19aatoboa,2.313pm0.245,4.925pm0.59,1.382pm0.092,21.973pm7.304
ZTF19abeyvoi,2.249pm0.146,6.932pm0.785,4.462pm0.195,6.525pm1.846
ZTF19abfarpa,4.354pm0.086,7.543pm0.47,4.263pm0.138,>2.6
ZTF19abobxik,3.48pm0.06,6.037pm0.844,3.447pm0.146,5.45pm0.682
ZTF19abrpfps,0.799pm0.069,2.585pm0.496,0.778pm0.121,1.771pm0.619
ZTF19abuvqgw,3.641pm0.114,4.715pm0.42,3.21pm0.172,5.984pm0.278
ZTF19abyjzvd,3.39pm0.277,7.383pm0.376,4.507pm0.39,8.208pm0.425
ZTF19acaxbjt,3.0-4.0,6.41pm0.512,2.91-4.0,8.874pm2.831
ZTF19acayojs,4.36pm0.156,5.614pm0.376,3.955pm0.96,5.374pm1.608
ZTF19accjfgv,1.088pm0.028,5.737pm0.427,1.2pm0.04,8.988pm1.088
ZTF19accxzsc,<3.0,2.032pm0.239,13.94-5.92,1.199pm1.512
ZTF19acsakuv,<3.31,4.75pm3.846,1.363pm0.232,8.009pm1.931
ZTF20aaelulu,2.925pm0.33,8.054pm0.459,6.074pm0.39,7.413pm0.757
ZTF20aahfqpm,<3.9,1.462pm0.07,<3.91,2.019pm0.789
ZTF20aaivtof,<2.87,7.501pm0.809,<2.85,9.029pm2.214
ZTF20aakypiu,1.19pm0.332,2.528pm0.144,3.381pm0.304,0.551pm0.238
ZTF20aaxhzhc,2.88-5.8,7.472pm1.113,2.73-5.67,27.88pm2.113
ZTF20aayrobw,3.61pm0.072,6.44pm0.372,1.92-3.78,11.981pm1.868
ZTF20aazchcq,4.016pm0.565,6.758pm0.877,3.13pm0.533,10.546pm0.996
ZTF20aazrcbp,4.59pm0.422,6.436pm0.736,3.71pm0.285,14.612pm2.533
ZTF20ababxjv,3.826pm0.124,4.542pm0.22,3.668pm0.202,6.755pm0.327
ZTF20abjbgjj,4.546pm0.672,>2.61,2.874pm0.572,6.931pm1.694
ZTF20abmocba,3.067pm0.038,7.443pm0.35,2.874pm0.096,9.302pm0.951
ZTF20abummyz,0.662pm0.067,3.381pm0.963,1.355pm0.122,5.581pm0.826
ZTF20aburywx,1.619pm0.045,1.715pm0.281,0.502pm0.265,2.749pm1.534
ZTF20acigmel,1.6-4.81,2.391pm0.297,0.88-3.26,3.601pm0.177
ZTF20acigusw,1.493pm0.066,4.134pm0.311,2.077pm0.128,8.211pm1.24
ZTF20aclfmwn,<0.91,3.518pm0.31,2.06-2.87,4.58pm0.388
