Date,Tel,Freq_Obs,Flux_mJy,eFlux
2022-10-02,VLA,15,0.023,0.004
2022-10-10,VLA,15,0.031,0.004
2022-10-10,VLA,22,0.038,0.009
2022-10-10,VLA,33,0.086,0.013
2022-10-10,VLA,45,0.127,0.033
2022-10-20,VLA,10,0.031,0.004
2022-10-20,VLA,15,0.033,0.004
2022-10-20,VLA,22,0.056,0.007
2022-10-20,VLA,33,0.071,0.010
2022-10-20,VLA,45,0.075,0.021
2022-11-08,VLA,15,0.031,0.004
2022-11-08,VLA,22,0.043,0.006
2022-11-08,VLA,33,0.075,0.008
2022-11-08,VLA,45,0.120,0.015
2022-12-03,VLA,15,0.049,0.004
2022-12-03,VLA,22,0.078,0.007
2022-12-03,VLA,33,0.099,0.009
2022-12-03,VLA,45,0.108,0.018
